|    name |       pseudo z |   pseudo z_error | Epeak (siml) [keV] | Epeak_error (siml) [keV] | Luminosity [erg/s] | Luminosity_error [erg/s] |
| 940114B |  4.85305804518 |   0.229785423515 |      159.013002341 |                      0.0 |  2.60408530157e+52 |        1.75637808795e+51 |
|  940124 |  1.54202526595 |  0.0858493566693 |      69.5115813194 |                      0.0 |  1.49939769152e+51 |        8.69955783314e+49 |
| 940128A |  2.50403478985 |  0.0351491298456 |      237.423115207 |                      0.0 |  2.14711957192e+52 |        3.70020306778e+50 |
| 940201B |  2.88103852219 |  0.0599665332273 |      197.852202746 |                      0.0 |  1.87083867038e+52 |        4.96615747198e+50 |
| 940207B |  4.84705798578 |   0.113300740588 |      245.100774346 |                      0.0 |  5.46719938315e+52 |        1.82005042242e+51 |
| 940207A |  29.1252983404 |  0.0395216085493 |      1295.57845091 |                      0.0 |   1.5967469016e+55 |        3.59883965557e+52 |
| 940211B |  2.13603114661 |   0.134813380024 |      83.9560232079 |                      0.0 |   2.9751701767e+51 |         2.1972911246e+50 |
| 940214C |  12.4871336225 |  0.0572999950236 |      766.514630784 |                      0.0 |  1.62939267084e+54 |        1.18927925108e+52 |
| 940214B |   2.0530303249 |   0.205383128561 |      61.6881416806 |                      0.0 |  1.67278170933e+51 |          1.933285874e+50 |
|  940216 |   8.1050902403 |   0.094450348269 |      460.026589174 |                      0.0 |  3.45114226735e+53 |        6.15042789533e+51 |
|  940219 |  10.9451183566 |  0.0145803357163 |      1801.12781159 |                      0.0 |  5.73930432252e+54 |        1.20353709253e+52 |
|  940224 |  2.54903523535 |   0.143221142901 |      113.666501313 |                      0.0 |  6.19491430218e+51 |        4.29492205273e+50 |
| 940226A |  2.69003663127 |  0.0984415368494 |      142.439767594 |                      0.0 |  9.75577539806e+51 |        4.47128816858e+50 |
| 940305C |  5.12306071821 |  0.0405764585607 |      505.873582713 |                      0.0 |  2.05459198639e+53 |        2.33912980782e+51 |
| 940305B |  2.72803700747 |  0.0506237735711 |      234.808612318 |                      0.0 |  2.34352871519e+52 |        5.46723496462e+50 |
|  940310 |  13.2301409783 |   0.119604447545 |      463.379978465 |                      0.0 |  7.52587445602e+53 |        1.08672149039e+52 |
| 940312A |  1.59002574116 |  0.0916343369939 |      65.6766089611 |                      0.0 |  1.40505452641e+51 |        8.54024833615e+49 |
|  940326 |  33.3493401584 |   0.010370107702 |      3114.21674299 |                      0.0 |  9.02615326857e+55 |        4.68156148347e+52 |
| 940329A | 0.959019494195 | 0.00965248117742 |      154.305311991 |                      0.0 |   3.7731476859e+51 |         3.1939430609e+49 |
|  940404 |  9.35410260553 |  0.0843196520743 |      528.698393265 |                      0.0 |  5.46626179717e+53 |        7.64768389249e+51 |
| 940410A |  3.69804661057 |    0.06258965912 |      285.227060919 |                      0.0 |  4.87022854324e+52 |        1.11469939704e+51 |
| 940415A |  2.07103050311 |  0.0188436715208 |      283.985682218 |                      0.0 |  2.32908925512e+52 |        2.45522154429e+50 |
|  940428 | 0.832018236882 |  0.0123780270381 |      97.6254854212 |                      0.0 |  1.53112110135e+51 |        1.77727378803e+49 |
|  940506 |  1.90802888939 |  0.0950605378829 |      88.6498379717 |                      0.0 |  2.87038360448e+51 |        1.61199856511e+50 |
|  940507 |  4.31205268923 |   0.148649439926 |      183.656792441 |                      0.0 |  2.82312409844e+52 |        1.35723181639e+51 |
| 940512B |  1.19102179102 |  0.0474083901058 |      78.9996155637 |                      0.0 |  1.44659090328e+51 |        5.37746261954e+49 |
| 940512A |  6.29507232112 |   0.128911183701 |      284.144704112 |                      0.0 |  1.03063323659e+53 |        3.12887560936e+51 |
| 940515B | 0.771017632976 |  0.0229110644068 |      55.2924012187 |                      0.0 |  5.44232076202e+50 |        1.20956629155e+49 |
| 940515A | 0.290012871029 | 0.00697233230631 |      25.3947132118 |                      0.0 |  8.26832559607e+49 |        7.67758731046e+47 |
| 940521B |  4.43405389704 |   0.150622489307 |      176.905922527 |                      0.0 |  2.75244834523e+52 |        1.31071483858e+51 |
| 940527A |  2.97603946269 |  0.0584744086646 |      220.139035973 |                      0.0 |   2.3431978275e+52 |        5.92034844301e+50 |
|  940613 |  1.09002079111 |  0.0717402355571 |       48.855085828 |                      0.0 |  5.84560439819e+50 |        3.44718643839e+49 |
| 940621C |  5.77006712357 |   0.190187499023 |      221.246455923 |                      0.0 |  5.89862041936e+52 |         2.8468370037e+51 |
| 940621B | 0.760017524075 |  0.0270491672777 |      52.7975103235 |                      0.0 |  4.96730976552e+50 |        1.31153930695e+49 |
| 940623B |  8.32309239852 |   0.226814330384 |      267.903362455 |                      0.0 |  1.41956147629e+53 |        5.93318467692e+51 |
