|         name |       pseudo z |  pseudo z_error | Epeak (meas) [keV] | Epeak_error (meas) [keV] | Luminosity [erg/s] | Luminosity_error [erg/s] |
| GRB111117510 | 0.763017553776 |  0.135136881377 |             284.65 |                 71.11769 |  8.58573112589e+51 |        2.19436747196e+51 |
| GRB111112908 |  1.06302052381 |  0.159231773129 |           896.5158 |                 213.2003 |  4.16290396367e+52 |        1.20116505966e+52 |
| GRB111103948 |  3.64304606606 |   1.60773287093 |           2335.557 |                 2125.407 |  2.65183325481e+53 |        6.86814485683e+53 |
| GRB111024896 | 0.919019098191 |  0.398203918056 |           232.1194 |                 161.5316 |  6.23460720277e+51 |        4.79922014908e+51 |
| GRB111022854 |  1.44802433534 |  0.666159331467 |           471.1874 |                 352.0381 |  2.27973119225e+52 |        2.52569790101e+52 |
| GRB111011094 | 0.614016078661 |  0.121015447557 |           202.6508 |                 56.68982 |  5.19086900416e+51 |        1.31957358346e+51 |
| GRB111001804 | 0.942019325893 |  0.409060647955 |           170.6308 |                 116.4803 |  4.50214486954e+51 |        3.46786761203e+51 |
| GRB110916016 |  1.62502608766 |  0.683364284543 |           263.6794 |                 134.0241 |  1.33416109676e+52 |        1.19522426011e+52 |
| GRB110801335 | 0.384013801638 |    0.1742579571 |           54.93985 |                 38.26357 |  9.14679152893e+50 |        4.62250847354e+50 |
| GRB110728056 |  1.86202843398 |  0.606079539451 |           786.0388 |                 431.1666 |   5.2941251553e+52 |        5.11507682695e+52 |
| GRB110717180 | 0.581015751958 |  0.118275028115 |           260.9849 |                 82.03037 |     6.45323097e+51 |        1.76278047021e+51 |
| GRB110705151 | 0.640016336063 | 0.0539817891243 |           1007.631 |                 127.5936 |  3.61845732655e+52 |         4.2038721972e+51 |
| GRB110605780 |  1.26502252363 |  0.504199955847 |           253.0436 |                  133.645 |  1.09256267056e+52 |        8.24929281422e+51 |
| GRB110529034 |  1.28002267213 |  0.172202162358 |            2314.86 |                 548.3343 |  1.31659721325e+53 |        4.16396677518e+52 |
| GRB110517453 |  1.49202477095 |  0.518875664091 |           389.5851 |                 188.3293 |  1.98839853981e+52 |        1.52169293929e+52 |
| GRB110509475 | 0.396013920439 | 0.0922694310327 |           60.74353 |                 20.53071 |  9.66604170663e+50 |        2.42109628418e+50 |
| GRB110424758 | 0.855018464585 |  0.458039857219 |           166.5335 |                 152.9204 |  3.69958330898e+51 |        3.55053072896e+51 |
| GRB110420946 | 0.897018880389 |  0.206182783695 |           345.1889 |                 104.8302 |  1.25012954789e+52 |        4.34232376094e+51 |
| GRB110409179 | 0.757017494375 |  0.160401208404 |           265.4813 |                 81.76193 |  7.63817418268e+51 |        2.37920057882e+51 |
| GRB110227009 |  1.36202348393 |  0.381899524824 |           148.3173 |                 44.70538 |  6.00299646486e+51 |          2.915602752e+51 |
| GRB110213876 |  1.26102248402 |  0.702887586039 |           261.5485 |                 246.9086 |   7.9005143764e+51 |        9.95335446097e+51 |
| GRB110212550 | 0.745017375574 |  0.127315454994 |           300.5462 |                  72.1643 |  9.45253913451e+51 |         2.2929285154e+51 |
| GRB101216721 | 0.677016702367 | 0.0334356017808 |           169.6077 |                 10.38292 |   4.8089385422e+51 |        2.90604168861e+50 |
| GRB101208203 | 0.554015484655 |   0.18667026344 |           67.80181 |                 31.13188 |  1.22664370596e+51 |        4.90302576532e+50 |
