|    name |                T-time | T90 [s] | T90_error [s] |    flux | flux_error |  fluence_1 | fluence_1_error |  fluence_2 | fluence_2_error |  fluence_3 | fluence_3_error |  fluence_4 | fluence_4_error |
|  920818 | 1992-08-18 14:09:41.6 |   1.152 |          0.32 |   0.526 |       0.06 | 7.8701e-09 |      1.1123e-08 | 3.6373e-08 |      1.1856e-08 | 1.3479e-07 |      3.1125e-08 | 1.0043e-06 |      4.4712e-07 |
| 921001A | 1992-10-01 07:09:40.9 |   0.704 |         0.345 |   0.355 |      0.055 |  1.271e-08 |      3.8574e-09 | 9.1285e-09 |      3.0349e-09 | 7.8388e-08 |      8.1831e-09 | 1.6133e-07 |      1.0923e-07 |
| 921023A | 1992-10-23 19:14:44.9 |   0.522 |          0.18 |   0.366 |      0.047 | 8.0453e-09 |      3.1541e-09 | 6.7631e-09 |      2.5404e-09 | 8.9133e-08 |      7.3865e-09 | 1.3769e-07 |      1.0099e-07 |
| 921102B | 1992-11-02 15:47:08.5 |   1.112 |         0.193 |   0.694 |      0.065 |        0.0 |      1.2075e-08 | 4.5786e-08 |      1.2618e-08 |  1.263e-07 |      3.4897e-08 | 7.2643e-07 |      3.6083e-07 |
|  921108 | 1992-11-08 09:09:37.3 |   0.512 |         0.143 |   0.238 |       0.05 | 7.0632e-09 |      2.7755e-09 | 1.4572e-08 |       2.879e-09 |  3.241e-08 |      7.3094e-09 | 4.6685e-08 |      8.3504e-08 |
| 921111A | 1992-11-11 09:23:09.1 |   0.128 |         0.143 |   0.303 |      0.054 | 4.7608e-09 |      1.6793e-09 | 1.1729e-08 |      1.8293e-09 | 6.8082e-08 |      5.1305e-09 | 2.8553e-07 |      1.1287e-07 |
|  921115 | 1992-11-15 19:49:27.7 |   1.792 |         0.389 |   0.271 |      0.052 | 3.0022e-08 |      1.7407e-08 | 7.0865e-08 |      1.6541e-08 | 1.0522e-07 |      4.1149e-08 | 9.4437e-07 |      7.2452e-07 |
| 921123A | 1992-11-23 12:56:23.7 |   0.591 |          0.06 |   2.146 |      0.072 | 4.9653e-08 |      3.7038e-09 | 9.8077e-08 |      4.0285e-09 | 3.7804e-07 |      1.0787e-08 | 2.1843e-07 |      7.7944e-08 |
|  921214 | 1992-12-14 14:06:04.7 |   0.216 |         0.021 |   0.061 |      0.054 | 2.0451e-09 |      1.9393e-09 | 1.1714e-09 |      1.7547e-09 | 2.7089e-08 |        4.54e-09 | 1.6519e-06 |      1.4224e-07 |
|  921219 | 1992-12-19 13:40:23.1 |   1.024 |         0.405 |   0.494 |      0.051 | 1.2346e-08 |      3.3355e-09 | 1.5745e-08 |      2.7699e-09 | 1.0479e-07 |      7.8714e-09 | 4.1015e-07 |      1.1581e-07 |
| 930103A |   1993-01-03 01:15:30 |   0.508 |         0.029 |   0.487 |      0.053 | 1.7161e-08 |      3.0674e-09 | 2.2623e-08 |      2.9947e-09 | 8.2464e-08 |      7.6867e-09 | 8.0409e-08 |      7.3001e-08 |
