|         name |            T-time [hrs] | T90 [s] | T90_error [s] |         flux |   flux_error |      fluence | fluence_error |
| GRB090331681 |                  16.339 |   0.832 |         0.143 | 2.831273e-06 | 4.091576e-07 |    3.456e-08 |     3.456e-08 |
| GRB090328713 |                  17.118 |   0.192 |         1.032 |  7.11628e-06 | 5.534379e-07 |   1.8397e-08 |    1.8397e-08 |
| GRB090308734 |                  17.607 |   1.664 |         0.286 | 4.707774e-06 | 4.840609e-07 |    2.888e-08 |     2.888e-08 |
| GRB090305052 |                   1.243 |   1.856 |          0.58 | 3.258985e-06 |  4.43373e-07 |   1.3313e-08 |    1.3313e-08 |
| GRB090228204 |                   4.889 |   0.448 |         0.143 | 6.356114e-05 | 1.422045e-06 |   2.6491e-08 |    2.6491e-08 |
| GRB090227772 |                  18.517 |   0.304 |         0.023 | 8.284255e-05 | 1.900286e-06 |   1.1791e-08 |    1.1791e-08 |
| GRB090219074 |                   1.772 |   0.448 |         0.272 | 3.030669e-06 | 5.078574e-07 |   5.4204e-08 |    5.4204e-08 |
| GRB090120627 |                   15.04 |   1.856 |         0.181 |  1.64084e-06 | 3.391008e-07 |   2.0788e-08 |    2.0788e-08 |
| GRB090108020 |                   0.484 |   0.704 |         0.143 | 3.188475e-06 | 4.370313e-07 |   1.6643e-08 |    1.6643e-08 |
| GRB081230871 |                  20.895 |   0.512 |         0.272 |  9.13718e-07 |          0.0 |   1.6004e-08 |    1.6004e-08 |
| GRB081229187 |                   4.484 |   0.768 |         0.724 | 1.473844e-06 |  3.02236e-07 |   7.6578e-08 |    7.6578e-08 |
| GRB081226509 |                   12.22 |   0.192 |         0.143 | 2.253567e-06 | 3.936421e-07 |   2.7133e-08 |    2.7133e-08 |
| GRB081223419 |                  10.066 |   0.576 |         0.143 | 2.269045e-06 | 2.952157e-07 |   3.8567e-08 |    3.8567e-08 |
| GRB081216531 |                  12.733 |   0.768 |         0.429 |   1.8227e-05 | 8.950898e-07 |   7.7392e-08 |    7.7392e-08 |
| GRB081209981 |                  23.532 |   0.192 |         0.143 | 1.150851e-05 | 8.139776e-07 |   1.4879e-08 |    1.4879e-08 |
| GRB081204517 |                  12.407 |   0.192 |         0.286 | 2.832515e-06 | 5.745595e-07 |   1.7439e-08 |    1.7439e-08 |
| GRB081122614 |                  14.724 |   0.192 |         0.091 | 1.075296e-06 | 2.901733e-07 |   7.9485e-09 |    7.9485e-09 |
| GRB081119184 |                   4.424 |    0.32 |          0.68 | 2.864463e-07 | 1.561339e-07 |    1.756e-08 |     1.756e-08 |
| GRB081107321 |                     7.7 |   1.664 |         0.234 | 1.306182e-06 |  2.20703e-07 |   3.1851e-08 |    3.1851e-08 |
| GRB081105614 |                  14.731 |    1.28 |         1.368 | 3.106523e-06 | 4.418598e-07 |   1.8363e-08 |    1.8363e-08 |
| GRB081102365 |                    8.75 |   1.728 |         0.231 | 1.517286e-06 |  4.00611e-07 |   3.2348e-08 |    3.2348e-08 |
| GRB081101491 |                  11.776 |   0.128 |         0.091 | 1.137195e-06 | 3.346163e-07 |    3.645e-09 |     3.645e-09 |
| GRB081024891 |                  21.378 |    0.64 |         0.264 | 2.401924e-06 | 3.689786e-07 |   2.8646e-08 |    2.8646e-08 |
| GRB081024245 |                   5.886 |   0.832 |         1.282 | 2.651241e-06 | 6.070389e-07 |   1.6934e-08 |    1.6934e-08 |
| GRB081012045 |                    1.09 |   1.216 |         1.748 | 3.072465e-06 | 4.419047e-07 |   4.3578e-08 |    4.3578e-08 |
| GRB080919790 |                   18.96 |   0.512 |         0.405 |  5.82286e-07 | 4.022177e-07 |   5.0626e-09 |    5.0626e-09 |
| GRB080831053 |                   1.271 |   0.576 |         1.168 | 9.153317e-07 | 3.019279e-07 |   1.7354e-08 |    1.7354e-08 |
| GRB080802386 |                   9.253 |   0.576 |         0.091 | 2.771404e-06 |  5.59858e-07 |    6.852e-09 |     6.852e-09 |
| GRB080725541 |                   12.99 |    0.96 |         1.292 |  1.50584e-06 | 3.822724e-07 |   4.3882e-08 |    4.3882e-08 |
| GRB160428412 | 2016-04-28 09:53:17.762 |   0.576 |          1.27 | 1.396456e-06 | 3.241034e-07 | 8.898625e-08 |  2.065282e-08 |
| GRB121023322 | 2012-10-23 07:44:16.946 |   0.512 |         0.181 | 3.120732e-06 | 4.290203e-07 | 1.985375e-07 |  2.729379e-08 |
| GRB120609580 | 2012-06-09 13:54:35.623 |   1.792 |          0.81 | 8.870887e-07 | 2.618016e-07 | 5.651846e-08 |  1.667998e-08 |
| GRB120212353 | 2012-02-12 08:27:47.590 |   0.864 |         0.577 |  1.40962e-06 | 3.384665e-07 | 8.968681e-08 |  2.153487e-08 |
| GRB120210650 | 2012-02-10 15:35:43.281 |   1.344 |         0.264 |  7.25064e-07 | 6.447272e-08 | 7.395153e-07 |  6.575773e-08 |
| GRB120205285 | 2012-02-05 06:51:05.307 |   0.576 |         0.272 | 1.073572e-06 | 2.567626e-07 | 6.846837e-08 |  1.637534e-08 |
| GRB120129312 | 2012-01-29 07:29:14.054 |    1.28 |         0.689 | 1.332555e-06 | 3.254139e-07 | 8.496173e-08 |  2.074791e-08 |
| GRB101021063 | 2010-10-21 01:30:31.658 |   1.536 |          2.36 | 1.383562e-06 |  3.90884e-07 | 8.817349e-08 |  2.491078e-08 |
| GRB100719311 | 2010-07-19 07:28:17.623 |     1.6 |         0.854 | 8.822104e-07 |  3.56137e-07 | 5.621005e-08 |  2.269127e-08 |
