| Swift name | Swift ID | BAT Trigger-time | BAT RA | BAT Dec | BAT Error-radius | BAT T90 | redshift | BAT Phoflux | BAT Phoflux_error | BAT fluence | BAT fluence_error |
|     090927 |    90927 |           10.121 | 22.929 | -70.973 |              1.2 |     2.2 |     1.37 |         2.0 |               0.2 |         2.0 |               0.2 |
|    090926B |    90926 |            21.93 |  3.087 | -38.997 |              0.8 |   109.7 |     1.24 |         3.2 |               0.2 |        73.0 |               1.5 |
|     090812 |    90812 |            6.036 | 23.547 | -10.609 |              0.8 |    66.7 |    2.452 |         3.6 |               0.2 |        58.0 |               1.5 |
|     090809 |    90809 |           17.521 | 21.911 |  -0.083 |              1.5 |     5.4 |    2.737 |         1.1 |               0.2 |         3.4 |               0.4 |
|     090726 |    90726 |           22.708 | 16.579 |  72.866 |              1.3 |    67.0 |     2.71 |         0.7 |               0.2 |         8.6 |               0.8 |
|    090715B |    90715 |           21.054 | 16.756 |  44.837 |              0.8 |   266.0 |      3.0 |         3.8 |               0.2 |        57.0 |               1.5 |
|     090618 |    90618 |            8.475 | 19.601 |  78.352 |              0.3 |   113.2 |     0.54 |        38.9 |               0.6 |      1050.0 |               7.6 |
|     090530 |    90530 |            3.305 |  11.96 |   26.59 |              1.4 |    48.0 |    1.266 |         2.5 |               0.2 |        11.0 |               0.8 |
|     090519 |    90519 |           21.149 |  9.488 |    0.19 |              1.5 |    64.0 |      3.9 |         0.6 |               0.2 |        12.0 |               0.8 |
|    090516A |    90516 |            8.464 |  9.216 | -11.848 |              1.1 |   210.0 |    4.109 |         1.6 |               0.2 |        90.0 |               4.5 |
|     090510 |    90510 |            0.383 | 22.237 | -26.598 |              1.3 |     0.3 |    0.903 |         9.7 |               0.8 |         3.4 |               0.3 |
|     090426 |    90426 |           12.813 | 12.605 |  32.978 |              1.3 |     1.2 |    2.609 |         2.4 |               0.2 |         1.8 |               0.2 |
|     090424 |    90424 |           14.202 | 12.635 |  16.829 |              0.8 |    48.0 |    0.544 |        71.0 |               1.5 |       210.0 |               0.0 |
|     090423 |    90423 |            7.922 |  9.926 |  18.165 |              0.8 |    10.3 |      8.0 |         1.7 |               0.2 |         5.9 |               0.3 |
|    090418A |    90418 |           11.128 | 17.955 |  33.407 |              1.1 |    56.0 |    1.608 |         1.9 |               0.2 |        46.0 |               1.5 |
|     090407 |    90407 |           10.474 |  4.599 | -12.684 |              1.7 |   310.0 |    1.448 |         0.6 |               0.1 |        11.0 |               1.5 |
|     090313 |    90313 |            9.108 | 13.227 |   8.086 |              1.7 |    79.0 |    3.375 |         0.8 |               0.2 |        14.0 |               1.5 |
|     090205 |    90205 |           23.054 | 14.728 | -27.848 |              1.5 |     8.8 |      4.7 |         0.5 |               0.1 |         1.9 |               0.2 |
|     090113 |    90113 |           18.678 |  2.138 |  33.436 |              0.8 |     9.1 |    1.749 |         2.5 |               0.2 |         7.6 |               0.3 |
|     090102 |    90102 |            2.929 |   8.55 |  33.107 |              1.1 |    27.0 |    1.547 |         5.5 |               0.6 |        0.68 |               0.0 |
|     081222 |    81222 |              4.9 |  1.517 | -34.095 |              0.8 |    24.0 |      2.7 |         7.7 |               0.2 |        48.0 |               0.8 |
|     081221 |    81221 |           16.353 |  1.053 | -24.542 |              0.8 |    34.0 |     2.26 |        18.2 |               0.4 |       181.0 |               2.3 |
|    081203A |    81203 |           13.953 | 15.538 |  63.514 |              0.8 |   294.0 |      2.1 |         2.9 |               0.2 |        77.0 |               2.3 |
|     081121 |    81121 |           20.592 |  5.952 | -60.612 |              1.1 |    14.0 |    2.512 |         4.4 |               0.8 |        41.0 |               2.3 |
|     081118 |    81118 |           14.943 |  5.505 | -43.305 |              1.2 |    67.0 |     2.58 |         0.6 |               0.2 |        12.0 |               0.8 |
|     081029 |    81029 |            1.732 | 23.118 | -68.179 |              1.7 |   270.0 |    3.847 |         0.5 |               0.2 |        21.0 |               1.5 |
|    081028A |    81028 |            0.417 |  8.126 |   2.305 |              0.9 |   260.0 |    3.038 |         0.5 |               0.1 |        37.0 |               1.5 |
|     081008 |    81008 |           19.969 | 18.665 | -57.433 |              0.8 |   185.5 |    1.968 |         1.3 |               0.1 |        43.0 |               1.5 |
|     081007 |    81007 |            5.398 | 22.664 | -40.146 |              1.1 |    10.0 |    0.529 |         2.6 |               0.3 |         7.1 |               0.6 |
