|          z_sim |      L_cut__BATSE |      L_cut__Fermi |      L_cut__Swift |       L_cut__CZTI |
|  12.8128215315 | 4.50768296408e+53 | 2.29987702227e+53 | 5.97986432159e+53 | 4.57759251512e+54 |
|  12.9129216216 | 4.64122115194e+53 | 2.34568076524e+53 | 6.14538064585e+53 | 4.71309221597e+54 |
|  13.0130217117 | 4.77784707546e+53 |  2.3920639511e+53 | 6.31443739003e+53 | 4.85172532115e+54 |
|  13.1131218018 | 4.91761222706e+53 |  2.4390303195e+53 | 6.48709035603e+53 | 4.99354414884e+54 |
|  13.2132218919 | 5.06056857612e+53 | 2.48658361814e+53 | 6.66339591613e+53 |  5.1386014852e+54 |
|   13.313321982 |  5.2067685054e+53 | 2.53472760865e+53 | 6.84341103515e+53 | 5.28695057775e+54 |
|  13.4134220721 |  5.3562648682e+53 | 2.58346606403e+53 | 7.02719326398e+53 | 5.43864511192e+54 |
|  13.5135221622 | 5.50911095127e+53 | 2.63280277267e+53 | 7.21480073046e+53 | 5.59373924136e+54 |
|  13.6136222523 |  5.6653604684e+53 | 2.68274152936e+53 | 7.40629217979e+53 | 5.75228752845e+54 |
|  13.7137223423 | 5.82506756949e+53 | 2.73328615103e+53 | 7.60172691643e+53 | 5.91434503577e+54 |
|  13.8138224324 | 5.98828681472e+53 | 2.78444045044e+53 | 7.80116486758e+53 | 6.07996717032e+54 |
|  13.9139225225 | 6.15507319213e+53 | 2.83620827404e+53 | 8.00466652869e+53 | 6.24920980883e+54 |
|  14.0140226126 | 6.32548198977e+53 |  2.8885934523e+53 | 8.21229301605e+53 | 6.42212923629e+54 |
|  14.1141227027 |   6.499569294e+53 | 2.94159988471e+53 | 8.42410601003e+53 | 6.59878214269e+54 |
|  14.2142227928 |  6.6773909477e+53 | 2.99523140708e+53 | 8.64016781875e+53 | 6.77922561136e+54 |
|  14.3143228829 | 6.85900371249e+53 | 3.04949191672e+53 | 8.86054132781e+53 | 6.96351712583e+54 |
|   14.414422973 | 7.04446444002e+53 | 3.10438531248e+53 | 9.08529002995e+53 | 7.15171453856e+54 |
|  14.5145230631 | 7.23383042062e+53 | 3.15991550304e+53 | 9.31447800973e+53 | 7.34387610788e+54 |
|  14.6146231532 | 7.42715947979e+53 | 3.21608641256e+53 | 9.54816996238e+53 | 7.54006042316e+54 |
|  14.7147232432 | 7.62450946773e+53 | 3.27290197456e+53 | 9.78643116193e+53 | 7.74032642503e+54 |
|  14.8148233333 | 7.82593882103e+53 | 3.33036613758e+53 | 1.00293275012e+54 | 7.94473344567e+54 |
|  14.9149234234 | 8.03150623438e+53 | 3.38848286214e+53 | 1.02769254535e+54 | 8.15334112152e+54 |
|  15.0150235135 | 8.24127071518e+53 | 3.44725611827e+53 | 1.05292921194e+54 | 8.36620941944e+54 |
|  15.1151236036 |  8.4552916005e+53 | 3.50668989204e+53 | 1.07864951711e+54 | 8.58339862713e+54 |
|  15.2152236937 | 8.67362853183e+53 | 3.56678817753e+53 | 1.10486028809e+54 | 8.80496932876e+54 |
|  15.3153237838 | 8.89634142132e+53 | 3.62755498677e+53 | 1.13156841329e+54 | 9.03098244327e+54 |
|  15.4154238739 | 9.12349047919e+53 | 3.68899433838e+53 | 1.15878084008e+54 | 9.26149911925e+54 |
|   15.515523964 | 9.35513618308e+53 | 3.75111026981e+53 | 1.18650457517e+54 | 9.49658080766e+54 |
