| Swift name | Swift ID | BAT Trigger-time | BAT RA | BAT Dec | BAT Error-radius | BAT T90 | BAT Phoflux | BAT Phoflux_error | BAT fluence | BAT fluence_error |
|    150722A |   150722 |            9.965 | 14.553 | -35.196 |              2.1 |    67.0 |         0.4 |               0.1 |         6.1 |               0.7 |
|    150720A |   150720 |           14.036 |  7.972 | -28.281 |              1.1 |   151.0 |         0.3 |               0.1 |         5.6 |               0.8 |
|    150716A |   150716 |            7.112 | 18.565 | -12.978 |              0.8 |    44.0 |         0.8 |               0.1 |        15.0 |               0.8 |
|    150711A |   150711 |           18.384 | 14.775 | -35.464 |              0.8 |    64.2 |         3.8 |               0.3 |        43.0 |               1.5 |
|    150710B |   150710 |            8.093 |  5.546 |  -46.96 |              0.9 |    15.0 |         8.3 |               0.2 |         3.5 |               0.1 |
|    150710A |   150710 |            0.467 | 12.966 |  14.309 |              1.1 |    0.15 |         0.7 |               0.1 |        0.71 |               0.1 |
|    150626B |   150626 |           20.381 | 12.508 |  66.794 |              1.4 |    48.0 |         0.6 |               0.2 |        10.0 |               0.8 |
|    150626A |   150626 |            2.214 |  7.424 | -37.803 |              1.4 |   144.0 |         0.4 |               0.2 |        18.0 |               1.5 |
|    150616A |   150616 |           22.822 | 20.981 | -53.403 |              0.9 |   599.5 |         2.9 |               0.3 |       190.0 |               7.6 |
|    150615A |   150615 |            4.708 |   7.17 | -22.466 |              1.4 |    27.6 |         0.6 |               0.2 |         5.5 |               0.5 |
|    150607A |   150607 |            7.919 |  9.334 |  68.436 |              0.9 |    26.3 |         4.9 |               0.4 |        23.0 |               1.5 |
|    150530A |   150530 |           11.705 | 21.834 |  57.519 |              0.9 |    6.62 |         4.1 |               0.5 |        18.0 |               0.8 |
|    150527A |   150527 |            6.815 | 19.264 |   4.195 |              0.8 |   112.0 |         0.3 |               0.2 |        31.0 |               1.5 |
|    150513A |   150513 |           20.522 |   3.27 | -22.868 |              0.8 |   162.0 |         2.9 |               0.2 |        54.0 |               1.5 |
|    150430A |   150430 |            0.358 | 21.765 | -27.919 |              1.2 |   107.1 |         5.0 |               0.8 |        69.0 |               3.8 |
|    150428B |   150428 |            3.201 | 19.511 |   4.114 |              1.0 |   130.9 |         1.4 |               0.2 |        37.0 |               2.3 |
|    150428A |   150428 |            1.511 | 12.569 |   6.967 |              0.9 |    53.2 |         3.0 |               0.4 |        63.0 |               2.3 |
|    150424A |   150424 |            7.716 | 10.154 | -26.646 |              0.8 |    91.0 |        12.0 |               0.3 |        15.0 |               0.8 |
|    150423A |   150423 |            6.468 | 14.773 |  12.264 |              1.4 |    0.22 |         0.9 |               0.1 |        0.63 |               0.1 |
|    150413A |   150413 |           13.916 | 12.693 |  71.839 |              1.4 |   263.6 |         1.6 |               0.2 |        43.0 |               3.0 |
|    150403A |   150403 |           21.904 | 20.767 | -62.706 |              0.8 |    40.9 |        17.6 |              -0.5 |       170.0 |               2.3 |
|    150323C |   150323 |           17.089 | 12.842 |  50.165 |              1.8 |   159.4 |         1.1 |               0.2 |        13.0 |               2.3 |
|    150323A |   150323 |            2.821 |  8.545 |  45.442 |              1.6 |   149.6 |         5.4 |               0.2 |        61.0 |               1.5 |
|    150318A |   150318 |            7.081 | 21.666 | -61.461 |              0.9 |   83.88 |         1.1 |               0.2 |        25.0 |               1.5 |
|    150317A |   150317 |            4.378 |  9.266 |  55.477 |              1.3 |   23.29 |         1.2 |               0.2 |         6.5 |               0.5 |
|    150314A |   150314 |            4.921 |  8.444 |  63.839 |              0.8 |   14.79 |        38.5 |               0.7 |       220.0 |               2.3 |
|    150309A |   150309 |           23.052 | 18.467 |  86.417 |              1.4 |   242.0 |         9.0 |               0.2 |       170.0 |               0.0 |
|    150302A |   150302 |             5.71 | 11.701 |  36.852 |              2.1 |   23.74 |         0.4 |               0.1 |         2.6 |               0.5 |
|    150301B |   150301 |           19.634 |  5.944 | -57.969 |              0.8 |   12.44 |         3.0 |               0.2 |        18.0 |               0.8 |
|    150301A |   150301 |            1.074 | 16.285 | -48.732 |              1.4 |    0.48 |         1.0 |               0.2 |        0.74 |               0.1 |
|    150222A |   150222 |           16.944 | 13.252 | -12.151 |              0.8 |    15.9 |         4.7 |               0.2 |        22.0 |               0.8 |
|    150213B |   150213 |           22.525 | 16.897 |  34.165 |              1.4 |   181.0 |         1.1 |               0.3 |        30.0 |               3.0 |
|    150212A |   150212 |           10.955 | 19.033 |  47.389 |              0.9 |    11.4 |         1.9 |               0.2 |         8.9 |               0.5 |
|    150206A |   150206 |           14.501 |  0.672 | -63.181 |              0.8 |    83.2 |        10.1 |               0.3 |       139.0 |               2.3 |
